geneko	mediaws	media	addtlCpd	addtlCpdBounds	customReactionBounds	growth
none	osnat_weissberg:narrative_1685348220740	PROMM_glycerol_media	none			1
none	osnat_weissberg:narrative_1685348220740	PROMM_lactate_media	none			1
none	osnat_weissberg:narrative_1685348220740	PROMM_acetate_media	none			1
none	osnat_weissberg:narrative_1685348220740	PROMM_pyruvate_media	none			1
none	osnat_weissberg:narrative_1685348220740	PROMM_media	none			1
none	osnat_weissberg:narrative_1685348220740	PRO99_media	none			0
none	osnat_weissberg:narrative_1685348220740	HMB_neg_media	none			0
none	osnat_weissberg:narrative_1685348220740	HMBaa_media	none			1
none	osnat_weissberg:narrative_1685348220740	HMBamisug_media	none			1
none	osnat_weissberg:narrative_1685348220740	HMBoligo_media	none			1
none	osnat_weissberg:narrative_1685348220740	MMB_neg_media	none			0
none	osnat_weissberg:narrative_1685348220740	MMB_pyruvate_media	none			1
none	osnat_weissberg:narrative_1685348220740	MMB_aa_media	none			1
